x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.46354221,-0.20190807,0.24557135,0.50616593,-0.49935568,0.49560670,0.49881255,273.78062151,-9.85220388,13.81780927,-9.85220388,304.04277381,2.09593937,13.81780927,2.09593937,296.78507308,2.88245070,-4.63291016,3.14749683,-4.63291016,8.88541541,-8.58616915,3.14749683,-8.58616915,17.62596762
0.46360117,-0.20154155,0.24556732,0.50621460,-0.49935712,0.49559767,0.49877069,274.05543278,-9.86431251,13.83878055,-9.86431251,304.08847022,1.75605088,13.83878055,1.75605088,296.52545137,2.81034219,-4.40204567,3.07080652,-4.40204567,8.95939818,-8.91879839,3.07080652,-8.91879839,15.99553396
0.46366294,-0.20116562,0.24556336,0.50626417,-0.49935858,0.49558859,0.49872793,274.33943534,-9.90352674,13.85789724,-9.90352674,304.10961079,1.39240560,13.85789724,1.39240560,296.24721299,2.52885870,-4.07835150,2.89959965,-4.07835150,9.28148042,-9.11114831,2.89959965,-9.11114831,14.23059718
0.46372756,-0.20078042,0.24555948,0.50631460,-0.49936008,0.49557947,0.49868430,274.61028706,-9.97011559,13.87646101,-9.97011559,304.12935012,1.02188771,13.87646101,1.02188771,295.96255728,2.07295370,-3.66109302,2.63376696,-3.66109302,9.78589028,-9.15562167,2.63376696,-9.15562167,12.39443510
0.46379505,-0.20038605,0.24555566,0.50636583,-0.49936161,0.49557032,0.49863984,274.84390960,-10.06281585,13.89256963,-10.06281585,304.16811908,0.66203065,13.89256963,0.66203065,295.68244687,1.50996406,-3.13885045,2.27136447,-3.13885045,10.42752966,-9.06386349,2.27136447,-9.06386349,10.57732942
0.46386543,-0.19998260,0.24555191,0.50641783,-0.49936317,0.49556116,0.49859457,275.01492715,-10.17886053,13.90136181,-10.17886053,304.24102495,0.32948975,13.90136181,0.32948975,295.41479513,0.93082054,-2.49360168,1.80858168,-2.49360168,11.18022970,-8.86387392,1.80858168,-8.86387392,8.89075955
0.46393870,-0.19957014,0.24554823,0.50647054,-0.49936475,0.49555201,0.49854854,275.09760028,-10.31402620,13.89542376,-10.31402620,304.35623060,0.03864640,13.89542376,0.03864640,295.16326702,0.43657699,-1.70712707,1.24023863,-1.70712707,12.03190081,-8.59491105,1.24023863,-8.59491105,7.45741994
0.46401487,-0.19914873,0.24554460,0.50652393,-0.49936636,0.49554288,0.49850176,275.06720379,-10.46278326,13.86536885,-10.46278326,304.51451379,-0.19950312,13.86536885,-0.19950312,294.92680128,0.12233338,-0.76833741,0.56057507,-0.76833741,12.97837049,-8.30102208,0.56057507,-8.30102208,6.39868503
0.46409393,-0.19871841,0.24554103,0.50657794,-0.49936800,0.49553378,0.49845427,274.90166926,-10.61862493,13.80057929,-10.61862493,304.71001836,-0.37805785,13.80057929,-0.37805785,294.69980899,0.06152403,0.32017346,-0.23589944,0.32017346,14.01768077,-8.02426040,-0.23589944,-8.02426040,5.82219857
0.46417585,-0.19827921,0.24553750,0.50663255,-0.49936967,0.49552473,0.49840610,274.58321159,-10.77461058,13.69005703,-10.77461058,304.93199261,-0.49446107,13.69005703,-0.49446107,294.47286435,0.29385234,1.53799536,-1.15366643,1.53799536,15.14634145,-7.79872927,-1.15366643,-7.79872927,5.81273354
0.46426060,-0.19783116,0.24553401,0.50668770,-0.49937136,0.49551574,0.49835728,274.09962831,-10.92409568,13.52328793,-10.92409568,305.16712007,-0.55030120,13.52328793,-0.55030120,294.23361759,0.81950879,2.84630829,-2.19563289,2.84630829,16.35848101,-7.64642371,-2.19563289,-7.64642371,6.42894652
0.46434814,-0.19737423,0.24553054,0.50674336,-0.49937307,0.49550682,0.49830782,273.44502171,-11.06155496,13.29099934,-11.06155496,305.40194339,-0.55075249,13.29099934,-0.55075249,293.96765694,1.60075260,4.19104482,-3.36266931,4.19104482,17.64806025,-7.57540761,-3.36266931,-7.57540761,7.70712552
0.46443842,-0.19690842,0.24552708,0.50679949,-0.49937482,0.49549800,0.49825777,272.61982944,-11.18336262,12.98570089,-11.18336262,305.62490298,-0.50379751,12.98570089,-0.50379751,293.65912558,2.56999779,5.50904169,-4.65307372,5.50904169,19.01349004,-7.58029636,-4.65307372,-7.58029636,9.67097937
0.46453137,-0.19643370,0.24552361,0.50685604,-0.49937658,0.49548928,0.49820714,271.63020837,-11.28839106,12.60194204,-11.28839106,305.82765099,-0.41938881,12.60194204,-0.41938881,293.29103061,3.64198385,6.73572473,-6.06175259,6.73572473,20.46333802,-7.64454253,-6.06175259,-7.64454253,12.34466883
0.46462692,-0.19595001,0.24552011,0.50691299,-0.49937837,0.49548067,0.49815597,270.48694297,-11.37832654,12.13628286,-11.37832654,306.00550836,-0.30867881,12.13628286,-0.30867881,292.84531941,4.72698845,7.81270199,-7.57898272,7.81270199,22.02145603,-7.74382555,-7.57898272,-7.74382555,15.76521078
0.46472498,-0.19545731,0.24551658,0.50697030,-0.49938019,0.49547218,0.49810427,269.20410876,-11.45765943,11.58703639,-11.45765943,306.15714304,-0.18338868,11.58703639,-0.18338868,292.30290562,5.74242465,8.69396101,-9.18879029,8.69396101,23.72981555,-7.84996529,-9.18879029,-7.84996529,19.99026932
0.46482545,-0.19495552,0.24551298,0.50702792,-0.49938203,0.49546384,0.49805207,267.79771221,-11.53336496,10.95388347,-11.53336496,306.28370663,-0.05531924,10.95388347,-0.05531924,291.64388354,6.62118667,9.34994120,-10.86720802,9.34994120,25.64752926,-7.93509672,-10.86720802,-7.93509672,25.09800571
0.46492822,-0.19444456,0.24550930,0.50708583,-0.49938389,0.49545565,0.49799939,266.28447355,-11.61433046,10.23747630,-11.61433046,306.38774988,0.06404792,10.23747630,0.06404792,290.84816706,7.31623685,9.76930829,-12.58088175,9.76930829,27.84492749,-7.97615806,-12.58088175,-7.97615806,31.17685470
0.46503319,-0.19392432,0.24550551,0.50714399,-0.49938577,0.49544762,0.49794626,264.68084986,-11.71060369,9.43913506,-11.71060369,306.47224030,0.16393706,9.43913506,0.16393706,289.89672606,7.80177009,9.95862518,-14.28661203,9.95862518,30.39222111,-7.95986582,-14.28661203,-7.95986582,38.30475246
0.46514021,-0.19339470,0.24550160,0.50720236,-0.49938768,0.49543976,0.49789271,263.00233401,-11.83253970,8.56070860,-11.83253970,306.53993844,0.23472279,8.56070860,0.23472279,288.77346595,8.07171974,9.94027594,-15.93236031,9.94027594,33.34333989,-7.88817078,-15.93236031,-7.88817078,46.51952812
0.46524915,-0.19285557,0.24549753,0.50726092,-0.49938962,0.49543210,0.49783874,261.26302144,-11.98992055,7.60462442,-11.98992055,306.59326640,0.26846254,7.60462442,0.26846254,287.46761358,8.13646247,9.74904460,-17.45998378,9.74904460,36.71699671,-7.78372851,-17.45998378,-7.78372851,55.78481572
0.46535988,-0.19230680,0.24549329,0.50731963,-0.49939157,0.49542462,0.49778439,259.47541048,-12.19112046,6.57410314,-12.19112046,306.63464578,0.25948667,6.57410314,0.25948667,285.97626894,8.01850491,9.42777823,-18.80952050,9.42777823,40.47860349,-7.69433626,-18.80952050,-7.69433626,65.95841544
0.46547223,-0.19174824,0.24548884,0.50737846,-0.49939355,0.49541736,0.49772967,257.65038846,-12.44238662,5.47347085,-12.44238662,306.66712912,0.20495368,5.47347085,0.20495368,284.30662122,7.74782414,9.02262099,-19.92435900,9.02262099,44.52773242,-7.69485195,-19.92435900,-7.69485195,76.77149339
0.46558605,-0.19117973,0.24548416,0.50743738,-0.49939555,0.49541032,0.49767460,255.79735116,-12.74729991,4.30847947,-12.74729991,306.69504496,0.10523725,4.30847947,0.10523725,282.47728603,7.35743853,8.57836224,-20.75629263,8.57836224,48.69566551,-7.88509258,-20.75629263,-7.88509258,87.82622754
0.46570118,-0.19060109,0.24547922,0.50749635,-0.49939758,0.49540350,0.49761921,253.92440393,-13.10646230,3.08654869,-13.10646230,306.72436208,-0.03598920,3.08654869,-0.03598920,280.51834302,6.87968697,8.13442791,-21.26945297,8.13442791,52.75584765,-8.38273804,-21.26945297,-8.38273804,98.61604340
0.46581744,-0.19001215,0.24547400,0.50755536,-0.49939962,0.49539693,0.49756352,252.03859950,-13.51743039,1.81687179,-13.51743039,306.76256121,-0.21206329,1.81687179,-0.21206329,278.46991732,6.34355546,7.72191376,-21.44247896,7.72191376,56.44711626,-9.31122643,-21.44247896,-9.31122643,108.56725814
0.46593468,-0.18941272,0.24546847,0.50761437,-0.49940169,0.49539061,0.49750754,250.14617739,-13.97488139,0.51036892,-13.97488139,306.81795028,-0.41406019,0.51036892,-0.41406019,276.37946101,5.77320191,7.36183275,-21.26886393,7.36183275,59.50644400,-10.78369357,-21.26886393,-10.78369357,117.09568050
0.46605273,-0.18880260,0.24546260,0.50767335,-0.49940378,0.49538454,0.49745129,248.25278269,-14.47097077,-0.82049065,-14.47097077,306.89851654,-0.63187730,-0.82049065,-0.63187730,274.29813824,5.18762120,7.06451051,-20.75597176,7.06451051,61.70573821,-12.88483755,-20.75597176,-12.88483755,123.66849401
0.46617140,-0.18818157,0.24545636,0.50773227,-0.49940590,0.49537875,0.49739479,246.36365359,-14.99582661,-2.16195647,-14.99582661,307.01052511,-0.85555374,-2.16195647,-0.85555374,272.27682478,4.60121529,6.82990916,-19.92349075,6.82990916,62.88659274,-15.65301881,-19.92349075,-15.65301881,127.86151871
0.46629053,-0.18754941,0.24544972,0.50779112,-0.49940803,0.49537324,0.49733806,244.48377700,-15.53812892,-3.49931759,-15.53812892,307.15713125,-1.07665783,-3.49931759,-1.07665783,270.36220494,4.02492372,6.64864288,-18.80201050,6.64864288,62.98757434,-19.06502792,-18.80201050,-19.06502792,129.40412340
0.46640995,-0.18690590,0.24544266,0.50784985,-0.49941019,0.49536802,0.49728112,242.61801783,-16.08573694,-4.81725751,-16.08573694,307.33728294,-1.28955041,-4.81725751,-1.28955041,268.59334957,3.46753852,6.50354974,-17.43204085,6.50354974,62.05992872,-23.02596241,-17.43204085,-23.02596241,128.20712112
0.46652951,-0.18625080,0.24543515,0.50790845,-0.49941238,0.49536309,0.49722398,240.77123159,-16.62634493,-6.10024828,-16.62634493,307.54516935,-1.49232169,-6.10024828,-1.49232169,266.99906072,2.93686113,6.37182693,-15.86332589,6.37182693,60.26889513,-27.36662284,-15.86332589,-27.36662284,124.37152623
0.46664904,-0.18558386,0.24542716,0.50796689,-0.49941458,0.49535848,0.49716666,238.94837062,-17.14815778,-7.33300228,-17.14815778,307.77042319,-1.68721086,-7.33300228,-1.68721086,265.59620582,2.44043833,6.22782082,-14.15393742,6.22782082,57.87905408,-31.85056216,-14.15393742,-31.85056216,118.17762124
0.46676839,-0.18490485,0.24541867,0.50802515,-0.49941681,0.49535418,0.49710918,237.15459341,-17.64057474,-8.50099690,-17.64057474,307.99919411,-1.88036748,-8.50099690,-1.88036748,264.38921496,1.98572909,6.04650964,-12.36850837,6.04650964,55.22375461,-36.19199427,-12.36850837,-36.19199427,110.05492448
0.46688742,-0.18421349,0.24540965,0.50808320,-0.49941906,0.49535020,0.49705155,235.39538208,-18.09485285,-9.59106483,-18.09485285,308.21605728,-2.08091696,-9.59106483,-2.08091696,263.37082882,1.57969788,5.80750098,-10.57514745,5.80750098,52.66117728,-40.08387446,-10.57514745,-40.08387446,100.53531947
0.46700601,-0.18350954,0.24540009,0.50814101,-0.49942133,0.49534656,0.49699379,233.67666702,-18.50469754,-10.59200873,-18.50469754,308.40651488,-2.29944416,-10.59200873,-2.29944416,262.52402336,1.22798618,5.49904956,-8.84101590,5.49904956,50.52290372,-43.23277097,-8.84101590,-43.23277097,90.19430109
0.46712401,-0.18279274,0.24538994,0.50819857,-0.49942363,0.49534327,0.49693591,232.00494933,-18.86670800,-11.49516603,-18.86670800,308.55964246,-2.54617024,-11.49516603,-2.54617024,261.82481535,0.93394778,5.12132103,-7.22708652,5.12132103,49.06397626,-45.39449478,-7.22708652,-45.39449478,79.58846532
0.46724134,-0.18206280,0.24537920,0.50825585,-0.49942595,0.49534032,0.49687792,230.38740462,-19.18060259,-12.29483422,-19.18060259,308.67031345,-2.82920253,-12.29483422,-2.82920253,261.24544485,0.69789535,4.68805332,-5.78301964,4.68805332,48.42472391,-46.40312136,-5.78301964,-46.40312136,69.19953590
0.46735788,-0.18131948,0.24536784,0.50831283,-0.49942830,0.49533774,0.49681985,228.83194655,-19.44917081,-12.98847996,-19.44917081,308.74048022,-3.15322683,-12.98847996,-3.15322683,260.75733377,0.51685913,4.22600032,-4.54317972,4.22600032,48.61282016,-46.18704381,-4.54317972,-46.18704381,59.39481930
0.46747356,-0.18056249,0.24535584,0.50836949,-0.49943067,0.49533552,0.49676171,227.34722668,-19.67793967,-13.57669613,-19.67793967,308.77920630,-3.51887470,-13.57669613,-3.51887470,260.33329623,0.38500831,3.77204278,-3.52452189,3.77204278,49.50919585,-44.76905080,-3.52452189,-44.76905080,50.41047327
0.46758832,-0.17979157,0.24534318,0.50842580,-0.49943306,0.49533367,0.49670351,225.94254819,-19.87458960,-14.06292598,-19.87458960,308.80145668,-3.92278456,-14.06292598,-3.92278456,259.94870608,0.29468337,3.36842976,-2.72653062,3.36842976,50.89524122,-42.25190395,-2.72653062,-42.25190395,42.35840317
0.46770209,-0.17900646,0.24532985,0.50848175,-0.49943548,0.49533221,0.49664526,224.62767285,-20.04819093,-14.45302156,-20.04819093,308.82593749,-4.35817749,-14.45302156,-4.35817749,259.58162118,0.23781103,3.05703969,-2.13284857,3.05703969,52.49365523,-38.79464991,-2.13284857,-38.79464991,35.25207145
0.46781484,-0.17820687,0.24531583,0.50853732,-0.49943792,0.49533113,0.49658698,223.41250489,-20.20834721,-14.75472763,-20.20834721,308.87243423,-4.81566329,-14.75472763,-4.81566329,259.21211362,0.20737942,2.87367777,-1.71392932,2.87367777,54.01316466,-34.58649997,-1.71392932,-34.58649997,29.04297953
0.46792657,-0.17739256,0.24530110,0.50859247,-0.49944039,0.49533046,0.49652868,222.30664287,-20.36432691,-14.97717503,-20.36432691,308.95910319,-5.28400832,-14.97717503,-5.28400832,258.82119378,0.19865192,2.84327079,-1.43007758,2.84327079,55.18840546,-29.82424643,-1.43007758,-29.82424643,23.65884873
0.46803726,-0.17656326,0.24528566,0.50864721,-0.49944289,0.49533018,0.49647037,221.31880610,-20.52425061,-15.13043724,-20.52425061,309.10007374,-5.75070375,-15.13043724,-5.75070375,258.38973716,0.20986675,2.97652056,-1.23452869,2.97652056,55.80936909,-24.69665928,-1.23452869,-24.69665928,19.03607121
0.46814694,-0.17571871,0.24526949,0.50870150,-0.49944541,0.49533032,0.49641207,220.45616661,-20.69438826,-15.22516251,-20.69438826,309.30359715,-6.20231307,-15.22516251,-6.20231307,257.89776239,0.24226686,3.26828594,-1.07658353,3.26828594,55.73830458,-19.37639513,-1.07658353,-19.37639513,15.14164974
0.46825564,-0.17485868,0.24525259,0.50875532,-0.49944796,0.49533088,0.49635379,219.72364949,-20.87861665,-15.27225983,-20.87861665,309.57088629,-6.62469395,-15.27225983,-6.62469395,257.32430600,0.29941070,3.69776168,-0.90506110,3.69776168,54.91461428,-14.01771636,-0.90506110,-14.01771636,11.98258060
0.46836341,-0.17398290,0.24523494,0.50880867,-0.49945053,0.49533185,0.49629553,219.12329526,-21.07808625,-15.28259911,-21.07808625,309.89574046,-7.00324816,-15.28259911,-7.00324816,256.64801554,0.38582969,4.23039118,-0.67232826,4.23039118,53.34972254,-8.75728103,-0.67232826,-8.75728103,9.60301435
0.46847034,-0.17309116,0.24521654,0.50886152,-0.49945314,0.49533326,0.49623732,218.65379523,-21.29114140,-15.26669168,-21.29114140,310.26501209,-7.32334332,-15.26669168,-7.32334332,255.84844021,0.50523023,4.82131662,-0.33889175,4.82131662,51.11443593,-3.71540966,-0.33889175,-3.71540966,8.07156002
0.46857650,-0.17218322,0.24519739,0.50891385,-0.49945577,0.49533511,0.49617916,218.31030159,-21.51351699,-15.23434219,-21.51351699,310.65990732,-7.57098162,-15.23434219,-7.57098162,254.90784311,0.65857572,5.41998238,0.12190871,5.41998238,48.32146972,1.00378661,0.12190871,1.00378661,7.46282773
