x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.29423022,0.66514753,0.24381320,0.50359381,-0.51803378,0.49203024,0.48573709,837.91226181,-4.63185494,5.08321151,-4.63185494,709.43989497,-4.60601234,5.08321151,-4.60601234,798.73618875,2.36452704,2.12352862,-3.42956066,2.12352862,10.17025882,-3.09768548,-3.42956066,-3.09768548,10.41172996
0.29419788,0.66517891,0.24381591,0.50359508,-0.51804207,0.49201941,0.48573791,837.99622659,-4.63226432,5.08378228,-4.63226432,709.50367855,-4.61277522,5.08378228,-4.61277522,798.80802456,2.36087126,2.12719265,-3.42545433,2.12719265,10.16226610,-3.09779154,-3.42545433,-3.09779154,10.40699130
0.29416556,0.66521024,0.24381863,0.50359635,-0.51805036,0.49200857,0.48573873,838.08019978,-4.63266634,5.08435964,-4.63266634,709.56748133,-4.61952670,5.08435964,-4.61952670,798.87987399,2.35719744,2.13085480,-3.42131376,2.13085480,10.15426503,-3.09792530,-3.42131376,-3.09792530,10.40214569
0.29413327,0.66524151,0.24382134,0.50359761,-0.51805865,0.49199773,0.48573956,838.16418136,-4.63306100,5.08494360,-4.63306100,709.63130330,-4.62626675,5.08494360,-4.62626675,798.95173701,2.35350571,2.13451493,-3.41713914,2.13451493,10.14625628,-3.09808657,-3.41713914,-3.09808657,10.39719350
0.29410101,0.66527273,0.24382405,0.50359888,-0.51806694,0.49198688,0.48574040,838.24817128,-4.63344830,5.08553417,-4.63344830,709.69514449,-4.63299535,5.08553417,-4.63299535,799.02361357,2.34979619,2.13817291,-3.41293064,2.13817291,10.13824052,-3.09827517,-3.41293064,-3.09827517,10.39213511
0.29406877,0.66530390,0.24382675,0.50360014,-0.51807523,0.49197602,0.48574124,838.33216950,-4.63382824,5.08613134,-4.63382824,709.75900490,-4.63971246,5.08613134,-4.63971246,799.09550362,2.34606898,2.14182858,-3.40868846,2.14182858,10.13021839,-3.09849091,-3.40868846,-3.09849091,10.38697090
0.29403656,0.66533501,0.24382946,0.50360140,-0.51808352,0.49196517,0.48574209,838.41617600,-4.63420082,5.08673513,-4.63420082,709.82288454,-4.64641805,5.08673513,-4.64641805,799.16740712,2.34232422,2.14548182,-3.40441277,2.14548182,10.12219057,-3.09873361,-3.40441277,-3.09873361,10.38170126
0.29400438,0.66536607,0.24383216,0.50360265,-0.51809181,0.49195430,0.48574294,838.50019073,-4.63456604,5.08734553,-4.63456604,709.88678342,-4.65311209,5.08734553,-4.65311209,799.23932401,2.33856203,2.14913248,-3.40010378,2.14913248,10.11415773,-3.09900306,-3.40010378,-3.09900306,10.37632659
0.29397223,0.66539708,0.24383486,0.50360391,-0.51810010,0.49194344,0.48574381,838.58421366,-4.63492389,5.08796255,-4.63492389,709.95070154,-4.65979456,5.08796255,-4.65979456,799.31125425,2.33478252,2.15278043,-3.39576167,2.15278043,10.10612051,-3.09929909,-3.39576167,-3.09929909,10.37084728
0.29394010,0.66542804,0.24383756,0.50360516,-0.51810839,0.49193257,0.48574468,838.66824474,-4.63527437,5.08858620,-4.63527437,710.01463891,-4.66646543,5.08858620,-4.66646543,799.38319778,2.33098582,2.15642551,-3.39138662,2.15642551,10.09807960,-3.09962150,-3.39138662,-3.09962150,10.36526371
0.29390800,0.66545894,0.24384025,0.50360641,-0.51811668,0.49192169,0.48574555,838.75228395,-4.63561748,5.08921647,-4.63561748,710.07859554,-4.67312468,5.08921647,-4.67312468,799.45515457,2.32717205,2.16006759,-3.38697883,2.16006759,10.09003564,-3.09997010,-3.38697883,-3.09997010,10.35957630
0.29387592,0.66548978,0.24384295,0.50360766,-0.51812497,0.49191081,0.48574643,838.83633124,-4.63595323,5.08985337,-4.63595323,710.14257143,-4.67977227,5.08985337,-4.67977227,799.52712455,2.32334134,2.16370653,-3.38253848,2.16370653,10.08198932,-3.10034469,-3.38253848,-3.10034469,10.35378545
0.29384387,0.66552058,0.24384564,0.50360890,-0.51813326,0.49189992,0.48574732,838.92038658,-4.63628161,5.09049690,-4.63628161,710.20656660,-4.68640818,5.09049690,-4.68640818,799.59910768,2.31949379,2.16734220,-3.37806577,2.16734220,10.07394128,-3.10074509,-3.37806577,-3.10074509,10.34789157
0.29381185,0.66555132,0.24384833,0.50361015,-0.51814155,0.49188903,0.48574822,839.00444993,-4.63660262,5.09114706,-4.63660262,710.27058103,-4.69303238,5.09114706,-4.69303238,799.67110390,2.31562955,2.17097444,-3.37356090,2.17097444,10.06589220,-3.10117109,-3.37356090,-3.10117109,10.34189506
0.29377985,0.66558200,0.24385102,0.50361139,-0.51814984,0.49187814,0.48574912,839.08852125,-4.63691627,5.09180386,-4.63691627,710.33461475,-4.69964485,5.09180386,-4.69964485,799.74311316,2.31174872,2.17460312,-3.36902404,2.17460312,10.05784274,-3.10162250,-3.36902404,-3.10162250,10.33579634
0.29374788,0.66561264,0.24385370,0.50361263,-0.51815813,0.49186724,0.48575003,839.17260050,-4.63722255,5.09246730,-4.63722255,710.39866774,-4.70624556,5.09246730,-4.70624556,799.81513542,2.30785144,2.17822810,-3.36445540,2.17822810,10.04979356,-3.10209913,-3.36445540,-3.10209913,10.32959582
