x,y,z,qw,qx,qy,qz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.29199731,0.52263016,0.24557474,0.49983144,-0.36097385,0.47970213,0.62430144,156.35696240,35.23742057,-15.05145664,35.23742057,187.12546679,119.98090228,-15.05145664,119.98090228,99.48221082,36.37379107,-19.99209354,-1.70670722,-19.99209354,11.62104973,2.49927904,-1.70670722,2.49927904,61.63254855
0.29195402,0.52374173,0.24556403,0.49985281,-0.36040709,0.48003954,0.62435241,155.55570808,34.87241347,-14.83386847,34.87241347,187.07398965,120.17326968,-14.83386847,120.17326968,99.52638444,36.71423865,-19.98560371,-1.94114505,-19.98560371,11.49837523,2.58651573,-1.94114505,2.58651573,61.27971586
0.29191103,0.52485125,0.24555324,0.49987445,-0.35983988,0.48037853,0.62440151,154.75459816,34.51101607,-14.61476896,34.51101607,187.02314547,120.36621502,-14.61476896,120.36621502,99.57196738,37.04744130,-19.97081731,-2.17961773,-19.97081731,11.37106544,2.67419463,-2.17961773,2.67419463,60.93010441
0.29186837,0.52595872,0.24554236,0.49989635,-0.35927223,0.48071912,0.62444874,153.95367660,34.15335922,-14.39423912,34.15335922,186.97292076,120.55969414,-14.39423912,120.55969414,99.61887288,37.37326287,-19.94772938,-2.42203992,-19.94772938,11.23923589,2.76217084,-2.42203992,2.76217084,60.58374083
0.29182607,0.52706418,0.24553140,0.49991850,-0.35870414,0.48106129,0.62449409,153.15298735,33.79957305,-14.17235982,33.79957305,186.92329748,120.75366228,-14.17235982,120.75366228,99.66701657,37.69157127,-19.91634254,-2.66832227,-19.91634254,11.10300867,2.85029818,-2.66832227,2.85029818,60.24065289
0.29178414,0.52816764,0.24552038,0.49994090,-0.35813561,0.48140505,0.62453755,152.35257439,33.44978693,-13.94921171,33.44978693,186.87425298,120.94807410,-13.94921171,120.94807410,99.71631629,38.00223833,-19.87666693,-2.91837137,-19.87666693,10.96251223,2.93842928,-2.91837137,2.93842928,59.90086952
0.29174260,0.52926912,0.24550930,0.49996355,-0.35756667,0.48175040,0.62457912,151.55248169,33.10412936,-13.72487519,33.10412936,186.82575996,121.14288379,-13.72487519,121.14288379,99.76669196,38.30513965,-19.82872022,-3.17208968,-19.82872022,10.81788118,3.02641584,-3.17208968,3.02641584,59.56442061
0.29170149,0.53036863,0.24549816,0.49998643,-0.35699732,0.48209734,0.62461880,150.75275324,32.76272789,-13.49943037,32.76272789,186.77778638,121.33804517,-13.49943037,121.33804517,99.81806542,38.60015450,-19.77252754,-3.42937554,-19.77252754,10.66925610,3.11410879,-3.42937554,3.11410879,59.23133700
0.29166081,0.53146617,0.24548697,0.50000954,-0.35642756,0.48244587,0.62465658,149.95343303,32.42570902,-13.27295707,32.42570902,186.73029549,121.53351172,-13.27295707,121.53351172,99.87036033,38.88716569,-19.70812142,-3.69012308,-19.70812142,10.51678326,3.20135846,-3.69012308,3.20135846,58.90165031
0.29162058,0.53256177,0.24547575,0.50003289,-0.35585740,0.48279599,0.62469245,149.15456506,32.09319814,-13.04553472,32.09319814,186.68324575,121.72923672,-13.04553472,121.72923672,99.92350201,39.16605941,-19.63554178,-3.95422224,-19.63554178,10.36061444,3.28801483,-3.95422224,3.28801483,58.57539281
0.29158081,0.53365541,0.24546451,0.50005645,-0.35528686,0.48314770,0.62472641,148.35619333,31.76531939,-12.81724237,31.76531939,186.63659085,121.92517325,-12.81724237,121.92517325,99.97741730,39.43672512,-19.55483584,-4.22155867,-19.55483584,10.20090665,3.37392773,-4.22155867,3.37392773,58.25259728
0.29154152,0.53474711,0.24545324,0.50008024,-0.35471594,0.48350101,0.62475846,147.55836188,31.44219564,-12.58815866,31.44219564,186.59027971,122.12127433,-12.58815866,122.12127433,100.03203447,39.69905541,-19.46605806,-4.49201376,-19.46605806,10.03782184,3.45894701,-4.49201376,3.45894701,57.93329686
0.29150271,0.53583687,0.24544198,0.50010424,-0.35414465,0.48385590,0.62478859,146.76111472,31.12394834,-12.35836174,31.12394834,186.54425647,122.31749295,-12.35836174,122.31749295,100.08728309,39.95294585,-19.36927007,-4.76546461,-19.36927007,9.87152668,3.54292282,-4.76546461,3.54292282,57.61752488
0.29146439,0.53692468,0.24543071,0.50012845,-0.35357300,0.48421239,0.62481679,145.96449590,30.81069749,-12.12792929,30.81069749,186.49846051,122.51378215,-12.12792929,122.51378215,100.14309392,40.19829490,-19.26454059,-5.04178397,-19.26454059,9.70219224,3.62570580,-5.04178397,3.62570580,57.30531466
0.29142655,0.53801053,0.24541947,0.50015287,-0.35300100,0.48457048,0.62484306,145.16854947,30.50256150,-11.89693846,30.50256150,186.45282652,122.71009509,-11.89693846,122.71009509,100.19939878,40.43500375,-19.15194538,-5.32084028,-19.15194538,9.52999371,3.70714731,-5.32084028,3.70714731,56.99669931
0.29138920,0.53909442,0.24540826,0.50017749,-0.35242865,0.48493016,0.62486740,144.37331952,30.19965713,-11.66546584,30.19965713,186.40728451,122.90638510,-11.66546584,122.90638510,100.25613051,40.66297619,-19.03156708,-5.60249763,-19.03156708,9.35511008,3.78709968,-5.60249763,3.78709968,56.69171158
