x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.48150907,0.49535744,0.29791047,-0.11302011,0.07850680,-0.00002836,154.22370923,-32.18932451,-43.74305878,-32.18932451,194.79772166,66.05651050,-43.74305878,66.05651050,165.45600775,5.88449164,-0.85958912,-0.06754240,-0.85958912,0.54082323,1.15389899,-0.06754240,1.15389899,22.83491912
0.48037882,0.49613840,0.29791025,-0.11302653,0.07768247,-0.00001620,154.08211296,-32.49798695,-43.36987374,-32.49798695,194.32545404,66.28673757,-43.36987374,66.28673757,164.81082492,6.01925848,-0.85545445,-0.07551450,-0.85545445,0.51293385,1.12227739,-0.07551450,1.12227739,23.37698432
0.47924854,0.49691109,0.29791015,-0.11302291,0.07685383,-0.00000489,153.93633228,-32.80867651,-42.99399751,-32.80867651,193.85426677,66.51796554,-42.99399751,66.51796554,164.17065565,6.15183898,-0.85049786,-0.08353927,-0.85049786,0.48608625,1.08960173,-0.08353927,1.08960173,23.90878114
0.47811836,0.49767548,0.29791016,-0.11300912,0.07602106,0.00000558,153.78643323,-33.12131802,-42.61562440,-33.12131802,193.38410250,66.75005877,-42.61562440,66.75005877,163.53591496,6.28210461,-0.84472050,-0.09160558,-0.84472050,0.46025659,1.05598286,-0.09160558,1.05598286,24.42983998
0.47698836,0.49843151,0.29791026,-0.11298506,0.07518434,0.00001525,153.63248377,-33.43583581,-42.23495118,-33.43583581,192.91490374,66.98288249,-42.23495118,66.98288249,162.90701225,6.40993129,-0.83812397,-0.09970226,-0.83812397,0.43542136,1.02152947,-0.09970226,1.02152947,24.93972813
0.47585866,0.49917916,0.29791046,-0.11295067,0.07434389,0.00002413,153.47455369,-33.75215365,-41.85217686,-33.75215365,192.44661289,67.21630306,-41.85217686,67.21630306,162.28435069,6.53519951,-0.83071026,-0.10781819,-0.83071026,0.41155746,0.98634798,-0.10781819,0.98634798,25.43804998
0.47472935,0.49991839,0.29791074,-0.11290594,0.07349997,0.00003225,153.31271453,-34.07019491,-41.46750246,-34.07019491,191.97917223,67.45018810,-41.46750246,67.45018810,161.66832665,6.65779427,-0.82248176,-0.11594227,-0.82248176,0.38864222,0.95054250,-0.11594227,0.95054250,25.92444706
0.47360054,0.50064916,0.29791111,-0.11285090,0.07265285,0.00003964,153.14703945,-34.38988255,-41.08113080,-34.38988255,191.51252390,67.68440673,-41.08113080,67.68440673,161.05932909,6.77760513,-0.81344130,-0.12406339,-0.81344130,0.36665348,0.91421474,-0.12406339,0.91421474,26.39859807
0.47247233,0.50137145,0.29791154,-0.11278562,0.07180282,0.00004631,152.97760317,-34.71113921,-40.69326626,-34.71113921,191.04660993,67.91882971,-40.69326626,67.91882971,160.45773902,6.89452625,-0.80359212,-0.13217048,-0.80359212,0.34556955,0.87746401,-0.13217048,0.87746401,26.86021875
0.47134483,0.50208522,0.29791203,-0.11271020,0.07095023,0.00005230,152.80448187,-35.03388724,-40.30411456,-35.03388724,190.58137224,68.15332968,-40.30411456,68.15332968,159.86392890,7.00845636,-0.79293788,-0.14025249,-0.79293788,0.32536932,0.84038714,-0.14025249,0.84038714,27.30906169
0.47021813,0.50279045,0.29791258,-0.11262480,0.07009541,0.00005763,152.62775309,-35.35804880,-39.91388257,-35.35804880,190.11675260,68.38778131,-39.91388257,68.38778131,159.27826213,7.11929874,-0.78148265,-0.14829837,-0.78148265,0.30603225,0.80307845,-0.14829837,0.80307845,27.74491607
0.46909233,0.50348713,0.29791318,-0.11252959,0.06923876,0.00006232,152.44749565,-35.68354589,-39.52277803,-35.68354589,189.65269267,68.62206147,-39.52277803,68.62206147,158.70109248,7.22696126,-0.76923093,-0.15629713,-0.76923093,0.28753841,0.76562976,-0.15629713,0.76562976,28.16760726
0.46796753,0.50417523,0.29791383,-0.11242478,0.06838066,0.00006641,152.26378955,-36.01030037,-39.13100938,-36.01030037,189.18913398,68.85604945,-39.13100938,68.85604945,158.13276358,7.33135631,-0.75618764,-0.16423778,-0.75618764,0.26986851,0.72813034,-0.16423778,0.72813034,28.57699642
0.46684383,0.50485474,0.29791451,-0.11231061,0.06752155,0.00006993,152.07671586,-36.33823409,-38.73878551,-36.33823409,188.72601792,69.08962707,-38.73878551,69.08962707,157.57360842,7.43240080,-0.74235813,-0.17210934,-0.74235813,0.25300391,0.69066692,-0.17210934,0.69066692,28.97297994
0.46572132,0.50552566,0.29791523,-0.11218735,0.06666187,0.00007290,151.88635670,-36.66726887,-38.34631555,-36.66726887,188.26328575,69.32267890,-38.34631555,69.32267890,157.02394882,7.53001611,-0.72774817,-0.17990089,-0.72774817,0.23692669,0.65332367,-0.17990089,0.65332367,29.35548885
