x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.31973211,0.69369856,0.29819487,-0.01823331,0.04572052,-0.00133634,203.14157169,-28.28394850,-27.45115707,-28.28394850,172.11662739,-9.98347363,-27.45115707,-9.98347363,73.37565906,1.23905769,-1.48608343,1.30599477,-1.48608343,48.66034253,-12.72737310,1.30599477,-12.72737310,4.29876742
0.31971386,0.69374427,0.29819353,-0.01825830,0.04569686,-0.00133064,203.14469400,-28.31050896,-27.44575392,-28.31050896,172.09874250,-9.97449487,-27.44575392,-9.97449487,73.36957755,1.23638460,-1.47758931,1.30227859,-1.47758931,48.68822236,-12.78718541,1.30227859,-12.78718541,4.32653061
0.31969559,0.69378995,0.29819221,-0.01828325,0.04567323,-0.00132491,203.14778217,-28.33707497,-27.44033357,-28.33707497,172.08091474,-9.96549506,-27.44033357,-9.96549506,73.36345711,1.23370330,-1.46907524,1.29852543,-1.46907524,48.71619970,-12.84715795,1.29852543,-12.84715795,4.35472270
0.31967730,0.69383561,0.29819088,-0.01830814,0.04564964,-0.00131915,203.15083610,-28.36364651,-27.43489611,-28.36364651,172.06314403,-9.95647430,-27.43489611,-9.95647430,73.35729732,1.23101384,-1.46054156,1.29473557,-1.46054156,48.74427556,-12.90729148,1.29473557,-12.90729148,4.38334775
0.31965898,0.69388125,0.29818957,-0.01833299,0.04562609,-0.00131335,203.15385567,-28.39022355,-27.42944161,-28.39022355,172.04543035,-9.94743266,-27.42944161,-9.94743266,73.35109775,1.22831632,-1.45198856,1.29090931,-1.45198856,48.77245091,-12.96758674,1.29090931,-12.96758674,4.41240983
0.31964063,0.69392687,0.29818826,-0.01835779,0.04560258,-0.00130752,203.15684080,-28.41680606,-27.42397016,-28.41680606,172.02777362,-9.93837026,-27.42397016,-9.93837026,73.34485795,1.22561081,-1.44341659,1.28704694,-1.44341659,48.80072676,-13.02804447,1.28704694,-13.02804447,4.44191298
0.31962226,0.69397246,0.29818695,-0.01838252,0.04557911,-0.00130167,203.15979136,-28.44339401,-27.41848183,-28.44339401,172.01017380,-9.92928716,-27.41848183,-9.92928716,73.33857751,1.22289738,-1.43482594,1.28314874,-1.43482594,48.82910410,-13.08866542,1.28314874,-13.08866542,4.47186124
0.31960387,0.69401802,0.29818565,-0.01840720,0.04555568,-0.00129578,203.16270725,-28.46998737,-27.41297670,-28.46998737,171.99263083,-9.92018347,-27.41297670,-9.92018347,73.33225598,1.22017611,-1.42621695,1.27921501,-1.42621695,48.85758391,-13.14945033,1.27921501,-13.14945033,4.50225868
0.31958545,0.69406357,0.29818436,-0.01843181,0.04553229,-0.00128986,203.16558837,-28.49658610,-27.40745486,-28.49658610,171.97514466,-9.91105926,-27.40745486,-9.91105926,73.32589294,1.21744708,-1.41758993,1.27524604,-1.41758993,48.88616720,-13.21039994,1.27524604,-13.21039994,4.53310932
0.31956700,0.69410909,0.29818307,-0.01845635,0.04550893,-0.00128392,203.16843460,-28.52319019,-27.40191637,-28.52319019,171.95771524,-9.90191463,-27.40191637,-9.90191463,73.31948795,1.21471037,-1.40894521,1.27124211,-1.40894521,48.91485494,-13.27151500,1.27124211,-13.27151500,4.56441723
0.31954853,0.69415459,0.29818179,-0.01848082,0.04548561,-0.00127795,203.17124585,-28.54979960,-27.39636133,-28.54979960,171.94034251,-9.89274968,-27.39636133,-9.89274968,73.31304057,1.21196605,-1.40028310,1.26720352,-1.40028310,48.94364813,-13.33279624,1.26720352,-13.33279624,4.59618644
0.31953004,0.69420006,0.29818052,-0.01850522,0.04546233,-0.00127196,203.17402200,-28.57641430,-27.39078981,-28.57641430,171.92302642,-9.88356448,-27.39078981,-9.88356448,73.30655038,1.20921420,-1.39160392,1.26313056,-1.39160392,48.97254777,-13.39424440,1.26313056,-13.39424440,4.62842102
0.31951152,0.69424551,0.29817925,-0.01852954,0.04543909,-0.00126594,203.17676295,-28.60303426,-27.38520188,-28.60303426,171.90576691,-9.87435912,-27.38520188,-9.87435912,73.30001694,1.20645490,-1.38290800,1.25902352,-1.38290800,49.00155483,-13.45586024,1.25902352,-13.45586024,4.66112499
0.31949298,0.69429094,0.29817799,-0.01855378,0.04541589,-0.00125989,203.17946860,-28.62965945,-27.37959764,-28.62965945,171.88856394,-9.86513370,-27.37959764,-9.86513370,73.29343981,1.20368821,-1.37419565,1.25488269,-1.37419565,49.03067032,-13.51764448,1.25488269,-13.51764448,4.69430241
0.31947442,0.69433634,0.29817673,-0.01857793,0.04539272,-0.00125382,203.18213883,-28.65628985,-27.37397715,-28.65628985,171.87141744,-9.85588831,-27.37397715,-9.85588831,73.28681856,1.20091423,-1.36546720,1.25070836,-1.36546720,49.05989520,-13.57959785,1.25070836,-13.57959785,4.72795726
