x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.52503990,0.47588814,0.29736608,-0.15371466,0.19405834,0.01504602,225.14135068,-8.21156697,0.33782998,-8.21156697,169.30989002,34.89956337,0.33782998,34.89956337,88.88999347,0.25129069,0.52422115,0.76065712,0.52422115,31.42413659,8.90241398,0.76065712,8.90241398,112.36641149
0.52488612,0.47608210,0.29738113,-0.15385373,0.19386977,0.01505062,225.16332346,-8.21011336,0.33752767,-8.21011336,169.29234850,34.89820419,0.33752767,34.89820419,88.88845586,0.25528372,0.53213089,0.76759686,0.53213089,31.52884469,8.93223381,0.76759686,8.93223381,112.33361657
0.52473219,0.47627588,0.29739618,-0.15399238,0.19368146,0.01505495,225.18528740,-8.20862902,0.33722573,-8.20862902,169.27487916,34.89682357,0.33722573,34.89682357,88.88699272,0.25933885,0.54010426,0.77456780,0.54010426,31.63345751,8.96192952,0.77456780,8.96192952,112.30010478
0.52457813,0.47646946,0.29741124,-0.15413062,0.19349341,0.01505899,225.20724235,-8.20711397,0.33692422,-8.20711397,169.25748193,34.89542179,0.33692422,34.89542179,88.88560358,0.26345675,0.54814114,0.78156992,0.54814114,31.73797226,8.99150144,0.78156992,8.99150144,112.26587616
0.52442393,0.47666286,0.29742630,-0.15426846,0.19330561,0.01506275,225.22918819,-8.20556822,0.33662318,-8.20556822,169.24015672,34.89399912,0.33662318,34.89399912,88.88428798,0.26763808,0.55624138,0.78860319,0.55624138,31.84238618,9.02094992,0.78860319,9.02094992,112.23093072
0.52426959,0.47685608,0.29744136,-0.15440591,0.19311809,0.01506622,225.25112476,-8.20399177,0.33632268,-8.20399177,169.22290346,34.89255582,0.33632268,34.89255582,88.88304549,0.27188354,0.56440479,0.79566761,0.56440479,31.94669667,9.05027529,0.79566761,9.05027529,112.19526863
0.52411512,0.47704910,0.29745643,-0.15454296,0.19293083,0.01506941,225.27305192,-8.20238464,0.33602277,-8.20238464,169.20572206,34.89109217,0.33602277,34.89109217,88.88187565,0.27619383,0.57263116,0.80276315,0.57263116,32.05090114,9.07947789,0.80276315,9.07947789,112.15889006
0.52396051,0.47724194,0.29747150,-0.15467964,0.19274385,0.01507231,225.29496952,-8.20074682,0.33572349,-8.20074682,169.18861244,34.88960842,0.33572349,34.88960842,88.88077805,0.28056963,0.58092028,0.80988981,0.58092028,32.15499704,9.10855805,0.80988981,9.10855805,112.12179521
0.52380576,0.47743459,0.29748658,-0.15481593,0.19255714,0.01507492,225.31687742,-8.19907834,0.33542491,-8.19907834,169.17157452,34.88810484,0.33542491,34.88810484,88.87975223,0.28501165,0.58927195,0.81704756,0.58927195,32.25898177,9.13751611,0.81704756,9.13751611,112.08398424
0.52365088,0.47762705,0.29750165,-0.15495187,0.19237072,0.01507724,225.33877547,-8.19737920,0.33512707,-8.19737920,169.15460822,34.88658169,0.33512707,34.88658169,88.87879776,0.28952058,0.59768596,0.82423638,0.59768596,32.36285278,9.16635241,0.82423638,9.16635241,112.04545735
0.52349586,0.47781933,0.29751673,-0.15508744,0.19218458,0.01507927,225.36066353,-8.19564940,0.33483004,-8.19564940,169.13771346,34.88503923,0.33483004,34.88503923,88.87791419,0.29409712,0.60616210,0.83145627,0.60616210,32.46660749,9.19506727,0.83145627,9.19506727,112.00621470
0.52334070,0.47801142,0.29753181,-0.15522265,0.19199874,0.01508100,225.38254145,-8.19388896,0.33453386,-8.19388896,169.12089016,34.88347772,0.33453386,34.88347772,88.87710110,0.29874197,0.61470017,0.83870721,0.61470017,32.57024332,9.22366103,0.83870721,9.22366103,111.96625649
0.52318541,0.47820333,0.29754689,-0.15535752,0.19181318,0.01508243,225.40440908,-8.19209789,0.33423858,-8.19209789,169.10413823,34.88189743,0.33423858,34.88189743,88.87635804,0.30345583,0.62329996,0.84598917,0.62329996,32.67375770,9.25213403,0.84598917,9.25213403,111.92558289
